Legend:

1-P =,Untitled 1 Process
1-A =,Untitled 1 Ambient


Interval:,1,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C
0,9/12/2014,10:34:52 PM,48,27.5
1,9/12/2014,10:34:53 PM,48,27.5
2,9/12/2014,10:34:54 PM,48,27.5
3,9/12/2014,10:34:55 PM,48,27.5
4,9/12/2014,10:34:56 PM,48,27.5
5,9/12/2014,10:34:57 PM,48,27.5
6,9/12/2014,10:34:58 PM,48,27.5
7,9/12/2014,10:34:59 PM,48,27.5
8,9/12/2014,10:35:00 PM,48,27.5
9,9/12/2014,10:35:01 PM,48,27.5
10,9/12/2014,10:35:02 PM,48,27.5
11,9/12/2014,10:35:03 PM,48,27.5
12,9/12/2014,10:35:04 PM,48,27.5
13,9/12/2014,10:35:05 PM,48,27.5
14,9/12/2014,10:35:06 PM,48,27.5
15,9/12/2014,10:35:07 PM,48,27.5
16,9/12/2014,10:35:08 PM,48,27.5
17,9/12/2014,10:35:09 PM,48,27.5
18,9/12/2014,10:35:10 PM,48,27.5
19,9/12/2014,10:35:11 PM,48,27.5
20,9/12/2014,10:35:12 PM,48,27.5
21,9/12/2014,10:35:13 PM,47,27.5
22,9/12/2014,10:35:14 PM,47,27.5
23,9/12/2014,10:35:15 PM,47,27.5
24,9/12/2014,10:35:16 PM,47,27.5
25,9/12/2014,10:35:17 PM,47,27.5
26,9/12/2014,10:35:18 PM,47,27.5
27,9/12/2014,10:35:19 PM,47,27.5
28,9/12/2014,10:35:20 PM,47,27.5
29,9/12/2014,10:35:21 PM,47,27.5
30,9/12/2014,10:35:23 PM,47,27.5
31,9/12/2014,10:35:24 PM,47,27.5
32,9/12/2014,10:35:25 PM,47,27.5
33,9/12/2014,10:35:26 PM,47,27.5
34,9/12/2014,10:35:27 PM,47,27.5
35,9/12/2014,10:35:28 PM,47,27.5
36,9/12/2014,10:35:29 PM,47,27.5
37,9/12/2014,10:35:30 PM,47,27.5
38,9/12/2014,10:35:31 PM,47,27.5
39,9/12/2014,10:35:32 PM,47,27.5
40,9/12/2014,10:35:33 PM,47,27.5
41,9/12/2014,10:35:34 PM,47,27.5
42,9/12/2014,10:35:35 PM,47,27.5
43,9/12/2014,10:35:36 PM,47,27.5
44,9/12/2014,10:35:37 PM,47,27.5
45,9/12/2014,10:35:38 PM,47,27.5
46,9/12/2014,10:35:39 PM,47,27.5
47,9/12/2014,10:35:40 PM,47,27.5
48,9/12/2014,10:35:41 PM,47,27.5
49,9/12/2014,10:35:42 PM,47,27.5
50,9/12/2014,10:35:43 PM,47,27.5
51,9/12/2014,10:35:44 PM,47,27.5
52,9/12/2014,10:35:45 PM,47,27.5
53,9/12/2014,10:35:46 PM,47,27.5
54,9/12/2014,10:35:47 PM,47,27.5
55,9/12/2014,10:35:48 PM,47,27.5
56,9/12/2014,10:35:49 PM,46,27.5
57,9/12/2014,10:35:50 PM,47,27.5
58,9/12/2014,10:35:51 PM,47,27.5
59,9/12/2014,10:35:52 PM,46,27.5
60,9/12/2014,10:35:53 PM,46,27.5
61,9/12/2014,10:35:54 PM,46,27.5
62,9/12/2014,10:35:55 PM,46,27.5
63,9/12/2014,10:35:56 PM,46,27.5
64,9/12/2014,10:35:57 PM,46,27.5
65,9/12/2014,10:35:58 PM,46,27.5
66,9/12/2014,10:35:59 PM,46,27.5
67,9/12/2014,10:36:00 PM,46,27.5
68,9/12/2014,10:36:01 PM,46,27.5
69,9/12/2014,10:36:02 PM,46,27.5
70,9/12/2014,10:36:03 PM,46,27.5
71,9/12/2014,10:36:04 PM,46,27.5
72,9/12/2014,10:36:05 PM,46,27.5
73,9/12/2014,10:36:06 PM,46,27.5
74,9/12/2014,10:36:07 PM,46,27.5
75,9/12/2014,10:36:08 PM,46,27.5
76,9/12/2014,10:36:09 PM,46,27.5
77,9/12/2014,10:36:10 PM,46,27.5
78,9/12/2014,10:36:11 PM,46,27.5
79,9/12/2014,10:36:12 PM,46,27.5
80,9/12/2014,10:36:13 PM,46,27.5
81,9/12/2014,10:36:14 PM,46,27.5
82,9/12/2014,10:36:15 PM,46,27.5
83,9/12/2014,10:36:16 PM,46,27.5
84,9/12/2014,10:36:17 PM,46,27.5
85,9/12/2014,10:36:18 PM,46,27.5
86,9/12/2014,10:36:19 PM,46,27.5
87,9/12/2014,10:36:20 PM,46,27.5
88,9/12/2014,10:36:21 PM,46,27.5
89,9/12/2014,10:36:22 PM,46,27.5
90,9/12/2014,10:36:23 PM,46,27.5
91,9/12/2014,10:36:24 PM,46,27.5
92,9/12/2014,10:36:25 PM,46,27.5
93,9/12/2014,10:36:26 PM,46,27.5
94,9/12/2014,10:36:27 PM,46,27.5
95,9/12/2014,10:36:28 PM,46,27.5
96,9/12/2014,10:36:29 PM,46,27.5
97,9/12/2014,10:36:30 PM,46,27.5
98,9/12/2014,10:36:31 PM,46,27.5
99,9/12/2014,10:36:32 PM,46,27.5
100,9/12/2014,10:36:33 PM,46,27.5
101,9/12/2014,10:36:35 PM,46,27.5
102,9/12/2014,10:36:36 PM,46,27.5
103,9/12/2014,10:36:37 PM,46,27.5
104,9/12/2014,10:36:38 PM,46,27.5
105,9/12/2014,10:36:39 PM,46,27.5
106,9/12/2014,10:36:40 PM,46,27.5
107,9/12/2014,10:36:41 PM,46,27.5
108,9/12/2014,10:36:42 PM,46,27.5
109,9/12/2014,10:36:43 PM,46,27.5
110,9/12/2014,10:36:44 PM,46,27.5
111,9/12/2014,10:36:45 PM,46,27.5
112,9/12/2014,10:36:46 PM,46,27.5
113,9/12/2014,10:36:47 PM,45,27.5
114,9/12/2014,10:36:48 PM,45,27.5
115,9/12/2014,10:36:49 PM,45,27.5
116,9/12/2014,10:36:50 PM,45,27.5
117,9/12/2014,10:36:51 PM,45,27.5
118,9/12/2014,10:36:52 PM,45,27.5
119,9/12/2014,10:36:53 PM,45,27.5
120,9/12/2014,10:36:54 PM,45,27.5
121,9/12/2014,10:36:55 PM,45,27.5
122,9/12/2014,10:36:56 PM,45,27.5
123,9/12/2014,10:36:57 PM,45,27.5
124,9/12/2014,10:36:58 PM,45,27.5
125,9/12/2014,10:36:59 PM,45,27.5
126,9/12/2014,10:37:00 PM,45,27.5
127,9/12/2014,10:37:01 PM,45,27.5
128,9/12/2014,10:37:02 PM,45,27.5
129,9/12/2014,10:37:03 PM,45,27.5
130,9/12/2014,10:37:04 PM,45,27.5
131,9/12/2014,10:37:05 PM,45,27.5
132,9/12/2014,10:37:06 PM,45,27.5
133,9/12/2014,10:37:07 PM,45,27.5
134,9/12/2014,10:37:08 PM,45,27.5
135,9/12/2014,10:37:09 PM,45,27.5
136,9/12/2014,10:37:10 PM,45,27.5
137,9/12/2014,10:37:11 PM,45,27.5
138,9/12/2014,10:37:12 PM,45,27.5
139,9/12/2014,10:37:13 PM,45,27.5
140,9/12/2014,10:37:14 PM,45,27.5
141,9/12/2014,10:37:15 PM,45,27.5
142,9/12/2014,10:37:16 PM,45,27.5
143,9/12/2014,10:37:17 PM,45,27.5
144,9/12/2014,10:37:18 PM,45,27.5
145,9/12/2014,10:37:19 PM,45,27.5
146,9/12/2014,10:37:20 PM,45,27.5
147,9/12/2014,10:37:22 PM,45,27.5
148,9/12/2014,10:37:23 PM,45,27.5
149,9/12/2014,10:37:24 PM,45,27.5
150,9/12/2014,10:37:25 PM,45,27.5
151,9/12/2014,10:37:26 PM,45,27.5
152,9/12/2014,10:37:27 PM,45,27.5
153,9/12/2014,10:37:28 PM,45,27.5
154,9/12/2014,10:37:29 PM,45,27.5
155,9/12/2014,10:37:30 PM,44,27.5
156,9/12/2014,10:37:31 PM,44,27.5
157,9/12/2014,10:37:32 PM,44,27.5
158,9/12/2014,10:37:33 PM,44,27.5
159,9/12/2014,10:37:34 PM,44,27.5
160,9/12/2014,10:37:35 PM,44,27.5
161,9/12/2014,10:37:36 PM,44,27.5
162,9/12/2014,10:37:37 PM,44,27.5
163,9/12/2014,10:37:38 PM,44,27.5
164,9/12/2014,10:37:39 PM,44,27.5
165,9/12/2014,10:37:40 PM,44,27.5
166,9/12/2014,10:37:41 PM,44,27.5
167,9/12/2014,10:37:42 PM,45,27.5
168,9/12/2014,10:37:43 PM,45,27.5
169,9/12/2014,10:37:44 PM,45,27.5
170,9/12/2014,10:37:45 PM,45,27.5
171,9/12/2014,10:37:46 PM,45,27.5
172,9/12/2014,10:37:47 PM,45,27.5
173,9/12/2014,10:37:48 PM,45,27.5
174,9/12/2014,10:37:49 PM,45,27.5
175,9/12/2014,10:37:50 PM,45,27.4
176,9/12/2014,10:37:51 PM,45,27.4
177,9/12/2014,10:37:52 PM,44,27.4
178,9/12/2014,10:37:53 PM,44,27.4
179,9/12/2014,10:37:54 PM,44,27.4
180,9/12/2014,10:37:55 PM,44,27.4
181,9/12/2014,10:37:56 PM,44,27.4
182,9/12/2014,10:37:57 PM,44,27.4
183,9/12/2014,10:37:58 PM,44,27.4
184,9/12/2014,10:37:59 PM,44,27.4
185,9/12/2014,10:38:00 PM,44,27.4
186,9/12/2014,10:38:01 PM,44,27.4
187,9/12/2014,10:38:02 PM,44,27.4
188,9/12/2014,10:38:03 PM,44,27.4
189,9/12/2014,10:38:04 PM,44,27.4
190,9/12/2014,10:38:05 PM,44,27.4
191,9/12/2014,10:38:06 PM,44,27.4
192,9/12/2014,10:38:07 PM,44,27.4
193,9/12/2014,10:38:08 PM,44,27.4
194,9/12/2014,10:38:09 PM,44,27.4
195,9/12/2014,10:38:10 PM,44,27.4
196,9/12/2014,10:38:11 PM,44,27.4
197,9/12/2014,10:38:12 PM,44,27.4
198,9/12/2014,10:38:13 PM,44,27.4
199,9/12/2014,10:38:14 PM,44,27.4
200,9/12/2014,10:38:15 PM,44,27.4
201,9/12/2014,10:38:16 PM,44,27.4
