Legend:

1-P =,Untitled 1 Process
1-A =,Untitled 1 Ambient


Interval:,1,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C
0,9/12/2014,11:40:07 PM,48,26.5
1,9/12/2014,11:40:08 PM,48,26.5
2,9/12/2014,11:40:09 PM,48,26.5
3,9/12/2014,11:40:10 PM,48,26.5
4,9/12/2014,11:40:11 PM,48,26.5
5,9/12/2014,11:40:12 PM,48,26.5
6,9/12/2014,11:40:13 PM,48,26.5
7,9/12/2014,11:40:14 PM,48,26.5
8,9/12/2014,11:40:15 PM,48,26.5
9,9/12/2014,11:40:16 PM,48,26.5
10,9/12/2014,11:40:17 PM,48,26.5
11,9/12/2014,11:40:18 PM,48,26.5
12,9/12/2014,11:40:19 PM,48,26.5
13,9/12/2014,11:40:20 PM,48,26.5
14,9/12/2014,11:40:21 PM,48,26.5
15,9/12/2014,11:40:22 PM,48,26.5
16,9/12/2014,11:40:23 PM,48,26.5
17,9/12/2014,11:40:24 PM,48,26.5
18,9/12/2014,11:40:25 PM,48,26.5
19,9/12/2014,11:40:26 PM,48,26.5
20,9/12/2014,11:40:27 PM,48,26.5
21,9/12/2014,11:40:28 PM,48,26.5
22,9/12/2014,11:40:29 PM,48,26.5
23,9/12/2014,11:40:30 PM,48,26.5
24,9/12/2014,11:40:31 PM,48,26.5
25,9/12/2014,11:40:32 PM,48,26.5
26,9/12/2014,11:40:33 PM,48,26.5
27,9/12/2014,11:40:34 PM,48,26.5
28,9/12/2014,11:40:35 PM,47,26.5
29,9/12/2014,11:40:36 PM,48,26.5
30,9/12/2014,11:40:37 PM,47,26.5
31,9/12/2014,11:40:39 PM,47,26.5
32,9/12/2014,11:40:40 PM,47,26.5
33,9/12/2014,11:40:41 PM,47,26.5
34,9/12/2014,11:40:42 PM,47,26.5
35,9/12/2014,11:40:43 PM,47,26.5
36,9/12/2014,11:40:44 PM,47,26.5
37,9/12/2014,11:40:45 PM,47,26.5
38,9/12/2014,11:40:46 PM,47,26.5
39,9/12/2014,11:40:47 PM,47,26.5
40,9/12/2014,11:40:48 PM,47,26.5
41,9/12/2014,11:40:49 PM,47,26.5
42,9/12/2014,11:40:50 PM,47,26.5
43,9/12/2014,11:40:51 PM,47,26.5
44,9/12/2014,11:40:52 PM,47,26.5
45,9/12/2014,11:40:53 PM,47,26.5
46,9/12/2014,11:40:54 PM,47,26.5
47,9/12/2014,11:40:55 PM,47,26.5
48,9/12/2014,11:40:56 PM,47,26.5
49,9/12/2014,11:40:57 PM,47,26.5
50,9/12/2014,11:40:58 PM,47,26.5
51,9/12/2014,11:40:59 PM,47,26.5
52,9/12/2014,11:41:00 PM,47,26.5
53,9/12/2014,11:41:01 PM,47,26.5
54,9/12/2014,11:41:02 PM,47,26.5
55,9/12/2014,11:41:03 PM,47,26.5
56,9/12/2014,11:41:04 PM,47,26.5
57,9/12/2014,11:41:05 PM,47,26.5
58,9/12/2014,11:41:06 PM,47,26.5
59,9/12/2014,11:41:07 PM,47,26.5
60,9/12/2014,11:41:08 PM,47,26.5
61,9/12/2014,11:41:09 PM,47,26.5
62,9/12/2014,11:41:10 PM,47,26.5
63,9/12/2014,11:41:11 PM,47,26.5
64,9/12/2014,11:41:12 PM,47,26.5
65,9/12/2014,11:41:13 PM,47,26.5
66,9/12/2014,11:41:14 PM,47,26.5
67,9/12/2014,11:41:15 PM,47,26.5
68,9/12/2014,11:41:16 PM,47,26.5
69,9/12/2014,11:41:17 PM,47,26.5
70,9/12/2014,11:41:18 PM,47,26.5
71,9/12/2014,11:41:19 PM,47,26.5
72,9/12/2014,11:41:20 PM,47,26.5
73,9/12/2014,11:41:21 PM,47,26.5
74,9/12/2014,11:41:22 PM,47,26.5
75,9/12/2014,11:41:23 PM,47,26.5
76,9/12/2014,11:41:24 PM,47,26.5
77,9/12/2014,11:41:25 PM,47,26.5
78,9/12/2014,11:41:26 PM,47,26.5
79,9/12/2014,11:41:27 PM,47,26.5
80,9/12/2014,11:41:28 PM,47,26.5
81,9/12/2014,11:41:29 PM,47,26.5
82,9/12/2014,11:41:30 PM,47,26.5
83,9/12/2014,11:41:31 PM,47,26.5
84,9/12/2014,11:41:32 PM,47,26.5
85,9/12/2014,11:41:33 PM,47,26.5
86,9/12/2014,11:41:34 PM,47,26.5
87,9/12/2014,11:41:35 PM,47,26.5
88,9/12/2014,11:41:36 PM,47,26.5
89,9/12/2014,11:41:37 PM,47,26.5
90,9/12/2014,11:41:38 PM,47,26.5
91,9/12/2014,11:41:39 PM,47,26.5
92,9/12/2014,11:41:40 PM,47,26.5
93,9/12/2014,11:41:41 PM,47,26.5
94,9/12/2014,11:41:42 PM,48,26.5
95,9/12/2014,11:41:43 PM,48,26.5
96,9/12/2014,11:41:44 PM,48,26.5
97,9/12/2014,11:41:45 PM,48,26.5
98,9/12/2014,11:41:46 PM,48,26.5
99,9/12/2014,11:41:47 PM,48,26.5
100,9/12/2014,11:41:48 PM,48,26.5
101,9/12/2014,11:41:49 PM,48,26.5
102,9/12/2014,11:41:51 PM,49,26.5
103,9/12/2014,11:41:52 PM,51,26.5
104,9/12/2014,11:41:53 PM,51,26.5
105,9/12/2014,11:41:54 PM,51,26.5
106,9/12/2014,11:41:55 PM,51,26.5
107,9/12/2014,11:41:56 PM,51,26.5
108,9/12/2014,11:41:57 PM,51,26.5
109,9/12/2014,11:41:58 PM,51,26.5
110,9/12/2014,11:41:59 PM,51,26.5
111,9/12/2014,11:42:00 PM,53,26.5
112,9/12/2014,11:42:01 PM,53,26.5
113,9/12/2014,11:42:02 PM,53,26.5
114,9/12/2014,11:42:03 PM,53,26.5
115,9/12/2014,11:42:04 PM,53,26.5
116,9/12/2014,11:42:05 PM,53,26.5
117,9/12/2014,11:42:06 PM,53,26.5
118,9/12/2014,11:42:07 PM,53,26.5
119,9/12/2014,11:42:08 PM,55,26.5
120,9/12/2014,11:42:09 PM,55,26.5
121,9/12/2014,11:42:10 PM,55,26.5
122,9/12/2014,11:42:11 PM,55,26.5
123,9/12/2014,11:42:12 PM,55,26.5
124,9/12/2014,11:42:13 PM,55,26.5
125,9/12/2014,11:42:14 PM,55,26.5
126,9/12/2014,11:42:15 PM,57,26.5
127,9/12/2014,11:42:16 PM,57,26.5
128,9/12/2014,11:42:17 PM,57,26.5
129,9/12/2014,11:42:18 PM,57,26.5
130,9/12/2014,11:42:19 PM,58,26.5
131,9/12/2014,11:42:20 PM,58,26.5
132,9/12/2014,11:42:21 PM,59,26.5
133,9/12/2014,11:42:22 PM,59,26.5
134,9/12/2014,11:42:23 PM,59,26.5
135,9/12/2014,11:42:24 PM,60,26.5
136,9/12/2014,11:42:25 PM,60,26.5
137,9/12/2014,11:42:26 PM,60,26.5
138,9/12/2014,11:42:27 PM,60,26.5
139,9/12/2014,11:42:28 PM,62,26.5
140,9/12/2014,11:42:29 PM,62,26.5
141,9/12/2014,11:42:30 PM,62,26.5
142,9/12/2014,11:42:31 PM,62,26.5
143,9/12/2014,11:42:32 PM,62,26.5
144,9/12/2014,11:42:33 PM,62,26.5
145,9/12/2014,11:42:34 PM,64,26.5
146,9/12/2014,11:42:35 PM,64,26.5
147,9/12/2014,11:42:36 PM,64,26.5
148,9/12/2014,11:42:37 PM,64,26.5
149,9/12/2014,11:42:38 PM,64,26.5
150,9/12/2014,11:42:39 PM,64,26.5
151,9/12/2014,11:42:40 PM,66,26.5
152,9/12/2014,11:42:41 PM,66,26.5
153,9/12/2014,11:42:42 PM,66,26.5
154,9/12/2014,11:42:43 PM,66,26.5
155,9/12/2014,11:42:44 PM,67,26.5
156,9/12/2014,11:42:45 PM,68,26.5
157,9/12/2014,11:42:46 PM,68,26.5
158,9/12/2014,11:42:47 PM,68,26.5
159,9/12/2014,11:42:48 PM,68,26.5
160,9/12/2014,11:42:49 PM,69,26.5
161,9/12/2014,11:42:50 PM,69,26.5
162,9/12/2014,11:42:51 PM,69,26.5
163,9/12/2014,11:42:52 PM,69,26.5
164,9/12/2014,11:42:53 PM,69,26.5
165,9/12/2014,11:42:54 PM,71,26.5
166,9/12/2014,11:42:55 PM,71,26.5
167,9/12/2014,11:42:56 PM,71,26.5
168,9/12/2014,11:42:57 PM,71,26.5
169,9/12/2014,11:42:58 PM,71,26.5
170,9/12/2014,11:42:59 PM,73,26.5
171,9/12/2014,11:43:00 PM,73,26.5
172,9/12/2014,11:43:01 PM,73,26.5
173,9/12/2014,11:43:02 PM,74,26.5
174,9/12/2014,11:43:04 PM,74,26.5
175,9/12/2014,11:43:05 PM,74,26.5
176,9/12/2014,11:43:06 PM,76,26.5
177,9/12/2014,11:43:07 PM,76,26.5
178,9/12/2014,11:43:08 PM,76,26.5
179,9/12/2014,11:43:09 PM,76,26.5
180,9/12/2014,11:43:10 PM,76,26.5
181,9/12/2014,11:43:11 PM,78,26.5
182,9/12/2014,11:43:12 PM,78,26.5
183,9/12/2014,11:43:13 PM,78,26.5
184,9/12/2014,11:43:14 PM,78,26.5
185,9/12/2014,11:43:15 PM,78,26.5
186,9/12/2014,11:43:16 PM,78,26.5
187,9/12/2014,11:43:17 PM,80,26.5
188,9/12/2014,11:43:18 PM,80,26.5
