Legend:

1-P =,Untitled 1 Process
1-A =,Untitled 1 Ambient


Interval:,1,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C
130,9/13/2014,3:43:12 AM,82,26.0
131,9/13/2014,3:43:13 AM,82,26.0
132,9/13/2014,3:43:14 AM,82,26.0
133,9/13/2014,3:43:15 AM,83,26.0
134,9/13/2014,3:43:16 AM,84,26.0
135,9/13/2014,3:43:17 AM,84,26.0
136,9/13/2014,3:43:18 AM,85,26.0
137,9/13/2014,3:43:19 AM,85,26.0
138,9/13/2014,3:43:20 AM,87,26.0
139,9/13/2014,3:43:21 AM,87,26.0
140,9/13/2014,3:43:22 AM,87,26.0
141,9/13/2014,3:43:23 AM,89,26.0
142,9/13/2014,3:43:24 AM,90,26.0
143,9/13/2014,3:43:25 AM,90,26.0
144,9/13/2014,3:43:26 AM,90,26.0
145,9/13/2014,3:43:27 AM,90,26.0
146,9/13/2014,3:43:28 AM,92,26.0
147,9/13/2014,3:43:29 AM,92,26.0
148,9/13/2014,3:43:30 AM,92,26.0
149,9/13/2014,3:43:31 AM,94,26.0
150,9/13/2014,3:43:32 AM,94,26.0
151,9/13/2014,3:43:33 AM,94,26.0
152,9/13/2014,3:43:34 AM,94,26.0
153,9/13/2014,3:43:35 AM,96,26.0
154,9/13/2014,3:43:36 AM,96,26.0
155,9/13/2014,3:43:37 AM,96,26.0
156,9/13/2014,3:43:38 AM,96,26.0
157,9/13/2014,3:43:39 AM,98,26.0
158,9/13/2014,3:43:40 AM,98,26.0
159,9/13/2014,3:43:41 AM,99,26.0
160,9/13/2014,3:43:42 AM,99,26.0
161,9/13/2014,3:43:43 AM,101,26.0
162,9/13/2014,3:43:44 AM,101,26.0
163,9/13/2014,3:43:45 AM,101,26.0
164,9/13/2014,3:43:46 AM,101,26.0
165,9/13/2014,3:43:47 AM,103,26.0
166,9/13/2014,3:43:48 AM,103,26.0
167,9/13/2014,3:43:49 AM,103,26.0
168,9/13/2014,3:43:50 AM,106,26.0
169,9/13/2014,3:43:51 AM,106,26.0
170,9/13/2014,3:43:52 AM,106,26.0
171,9/13/2014,3:43:53 AM,106,26.0
172,9/13/2014,3:43:54 AM,106,26.0
173,9/13/2014,3:43:55 AM,108,26.0
174,9/13/2014,3:43:56 AM,108,26.0
